City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,hirtshals,57.5881,9.9592,14.59,84,5,10.09,DK,1690258619
83,onega,63.9061,38.1404,11.95,96,95,2.5,RU,1690258620
84,gorontalo,0.5412,123.0595,30.35,62,24,4.41,ID,1690258620
85,djibo,14.1022,-1.6306,26.76,68,38,5.4,BF,1690258621
86,lubango,-14.9172,13.4925,13.74,33,38,0.99,AO,1690258622
87,akureyri,65.6835,-18.0878,9.67,93,100,2.19,IS,1690258133
88,fisterra,42.9049,-9.2629,13.75,74,14,5.0,ES,1690258623
89,touros,-5.1989,-35.4608,23.1,88,11,6.0,BR,1690258623
90,west island,-12.1568,96.8225,26.99,65,75,8.23,CC,1690258624
91,lihue,21.9789,-159.3672,28.58,83,75,6.17,US,1690258624
92,udachny,66.4167,112.4,16.36,82,85,2.37,RU,1690258499
93,san rafael,-34.6177,-68.3301,6.19,55,94,1.11,AR,1690258626
94,quesnel,52.9999,-122.5029,14.28,94,100,2.06,CA,1690258626
95,titusville,28.6122,-80.8075,27.83,83,100,2.06,US,1690258576
96,tiksi,71.6872,128.8694,5.67,75,96,2.97,RU,1690258627
97,sarakhs,36.5449,61.1577,34.32,15,0,3.66,IR,1690258628
98,iskateley,67.6803,53.1512,18.33,72,61,4.57,RU,1690258048
99,hadibu,12.65,54.0333,25.41,77,97,11.34,YE,1690258221
100,nawalgarh,27.85,75.2667,34.35,47,93,3.73,IN,1690258630
101,altamont,42.2068,-121.7372,20.91,37,0,3.09,US,1690258630
102,tsiombe,-25.3,45.4833,14.65,93,0,2.32,MG,1690258630
103,bredasdorp,-34.5322,20.0403,5.92,74,0,1.99,ZA,1690258626
104,bardai,11.65,7.2333,21.27,93,24,3.43,NG,1690258206
105,ed damer,17.5928,33.9592,32.77,29,72,3.66,SD,1690258633
106,quang ngai,15.1167,108.8,33.86,52,45,2.25,VN,1690258530
107,ust-nera,64.5667,143.2,21.64,62,90,1.23,RU,1690258634
108,san antonio de pale,-1.4014,5.6325,22.59,83,22,2.53,GQ,1690258635
109,nelson bay,-32.7167,152.15,18.33,82,48,2.68,AU,1690258635
110,sola,-13.8833,167.55,25.87,85,32,3.07,VU,1690258636
111,stung treng,13.5259,105.9683,25.41,94,99,0.85,KH,1690258636
112,ribeira grande,38.5167,-28.7,21.54,85,15,2.24,PT,1690258637
113,uravakonda,14.95,77.2667,22.84,86,100,9.04,IN,1690258637
114,taungdwingyi,20.0167,95.55,32.81,52,40,4.09,MM,1690258637
115,geraldton,-28.7667,114.6,17.23,45,100,5.66,AU,1690258525
116,guerrero negro,27.9769,-114.0611,20.95,76,77,6.23,MX,1690258639
117,nantucket,41.2835,-70.0995,23.33,81,45,4.33,US,1690258639
118,velikiy ustyug,60.7644,46.3106,13.26,94,92,2.34,RU,1690258640
119,nuuk,64.1835,-51.7216,9.34,71,14,6.17,GL,1690258640
120,happy valley-goose bay,53.3168,-60.3315,12.93,96,72,1.09,CA,1690258074
121,dhangadhi,28.7079,80.5961,27.98,84,99,1.62,NP,1690258641
122,asau,46.4333,26.4,18.51,69,41,2.62,RO,1690258642
123,zaragoza,41.6561,-0.8773,18.25,59,0,8.23,ES,1690258642
124,enewetak,11.3474,162.3373,28.91,78,45,6.85,MH,1690258643
125,hirara,24.8,125.2833,33.92,70,75,9.77,JP,1690258551
126,papatowai,-46.5619,169.4708,7.72,80,82,7.51,NZ,1690258644
127,antsiranana,-12.2787,49.2917,21.69,78,48,3.62,MG,1690258644
128,holetown,13.1867,-59.6381,26.31,86,100,7.26,BB,1690258645
129,aasiaat,68.7098,-52.8699,2.76,95,100,3.17,GL,1690258645
130,ancud,-41.8697,-73.8203,9.06,84,53,9.34,CL,1690258646
131,hithadhoo,-0.6,73.0833,28.2,78,100,7.41,MV,1690258105
132,port macquarie,-31.4333,152.9167,18.27,56,7,4.57,AU,1690258471
133,alofi,-19.0595,-169.9187,22.94,64,2,2.57,NU,1690258647
134,hawaiian paradise park,19.5933,-154.9731,25.73,88,100,3.6,US,1690258647
135,brookings,44.3114,-96.7984,23.0,81,0,3.6,US,1690258086
136,santa cruz,-17.8,-63.1667,20.7,52,75,6.17,BO,1690258232
137,invercargill,-46.4,168.35,8.03,78,68,8.04,NZ,1690258351
138,miri,4.4148,114.0089,33.08,66,20,3.6,MY,1690258649
139,newquay,50.4132,-5.0819,13.42,88,100,1.03,GB,1690258357
